x,y,z
2,0,10
3,0,10
2,0,10
4,3,8
3,3,8
3,3,9
3,3,8
3,3,9
3,2,9
3,2,10
3,1,10
3,1,9
3,1,10
3,1,11
3,1,12
3,2,12
3,2,11
3,2,10
3,1,10
2,1,10
2,2,10
2,2,11
1,2,11
1,3,10
1,2,10
2,2,10
3,2,10
3,2,9
3,1,9
2,1,9
2,1,10
2,1,11
1,1,11
1,1,10
1,2,10
1,1,10
1,2,10
2,2,10
1,2,10
1,2,11
1,2,10
0,2,10
1,2,10
3,2,11
2,2,11
3,2,11
3,2,12
3,2,11
3,1,11
3,2,11
2,2,11
2,3,11
3,3,11
3,2,11
2,2,11
2,2,10
2,1,10
2,2,10
2,2,9
3,2,9
3,2,8
3,2,9
3,1,9
1,2,10
1,3,10
1,2,10
2,2,10
2,3,10
3,3,10
3,4,10
3,5,10
3,4,10
3,3,10
2,3,10
3,3,10
2,3,10
2,2,10
3,2,10
3,2,11
2,2,11
2,2,10
2,1,10
2,1,11
3,0,10
3,1,10
3,1,11
4,1,11
3,1,11
2,1,11
3,1,11
3,1,10
3,1,11
3,0,11
3,1,11
4,1,11
3,1,11
3,1,10
3,1,11
2,1,11
3,1,11
3,0,11
3,1,11
3,2,11
2,2,10
2,2,11
2,3,11
3,3,11
2,3,11
2,3,10
2,2,10
2,3,10
2,2,10
2,2,9
1,2,9
1,2,10
2,2,10
2,2,9
2,2,10
2,2,11
1,2,11
0,2,11
1,2,11
2,2,11
2,2,11
1,2,11
2,2,11
3,2,11
2,2,11
2,3,11
1,3,11
1,2,11
1,2,10
1,2,11
0,2,11
0,1,11
1,1,11
0,1,11
0,2,11
6,2,11
0,2,11
0,2,10
1,2,10
1,3,10
2,2,11
2,2,12
2,2,11
2,1,11
2,1,10
2,1,11
2,1,10
2,2,10
3,2,10
3,2,11
2,2,11
1,2,11
0,2,11
0,1,11
1,1,11
2,1,11
2,1,12
2,1,13
2,1,12
2,1,11
3,3,7
3,3,8
3,3,7
3,3,6
3,3,5
3,3,4
3,3,5
3,3,6
3,3,7
3,3,8
3,2,8
3,3,8
3,3,9
3,3,8
3,4,8
3,3,8
3,3,9
3,3,10
3,2,10
3,2,11
2,2,9
2,1,9
2,2,9
2,1,9
2,2,9
2,2,10
3,2,10
3,2,11
3,2,10
3,2,11
2,2,11
2,1,11
1,1,11
1,2,11
1,3,11
2,3,11
2,2,11
2,2,12
2,3,12
2,3,11
4,1,11
4,1,10
3,1,10
3,2,10
3,3,10
2,3,10
2,2,10
2,1,10
2,1,11
2,1,12
2,1,13
2,1,14
2,1,13
2,1,12
3,1,12
2,1,12
3,1,12
3,1,11
3,0,11
4,0,11
2,1,9
2,1,10
3,1,10
3,1,11
3,2,11
4,2,11
4,1,11
4,0,11
4,1,11
4,1,10
3,1,10
3,1,11
3,1,12
3,2,12
3,1,12
3,2,12
2,2,12
3,2,12
3,2,11
4,2,11
2,2,11
2,3,11
3,3,11
3,2,11
3,2,10
3,1,10
3,2,10
3,2,11
2,2,11
1,2,11
2,2,11
2,1,11
3,1,11
3,0,11
4,0,11
3,0,11
4,0,11
4,0,10
5,0,10
4,0,10
3,2,9
3,2,8
3,3,8
4,3,8
5,3,8
4,3,8
3,3,8
3,3,7
3,3,6
3,3,7
3,3,8
3,3,9
2,3,9
2,3,8
2,3,9
3,3,9
3,3,8
4,3,8
3,3,8
2,3,8
3,2,9
3,1,9
2,1,9
2,1,10
2,0,10
3,0,10
4,0,10
4,6,10
3,6,10
3,5,10
3,6,10
3,0,10
4,0,10
5,0,10
4,0,10
3,0,10
2,0,10
2,1,10
3,1,10
3,2,10
4,1,10
3,1,10
3,0,10
3,1,10
3,1,9
3,1,10
3,1,11
4,1,11
4,1,10
4,0,10
4,6,10
4,0,10
4,1,10
4,0,10
5,0,10
4,0,10
4,0,11
4,0,10
3,0,10
3,1,10
1,2,12
1,1,12
1,1,11
2,1,11
2,1,12
3,1,12
2,1,12
2,2,12
1,2,12
1,1,12
1,1,11
1,2,11
1,1,11
1,1,12
1,1,11
1,1,12
2,1,12
3,1,12
3,1,11
2,1,11
2,1,11
1,1,11
2,1,11
3,1,11
2,1,11
1,1,11
0,1,11
1,1,11
1,2,11
2,2,11
2,2,10
1,2,10
1,2,11
1,1,11
2,1,11
2,2,11
2,1,11
2,1,12
2,2,12
2,3,12
3,2,10
2,2,10
2,2,11
3,2,11
3,3,11
3,3,10
3,3,11
3,2,11
2,2,11
2,2,12
2,2,11
2,2,10
2,2,9
2,3,9
2,3,10
2,3,11
3,3,11
3,2,11
2,2,11
2,2,10
2,3,12
2,3,11
2,2,11
3,2,11
3,1,11
3,2,11
3,2,10
3,2,9
3,2,8
3,3,8
3,3,7
3,3,6
3,3,7
3,3,8
3,2,8
3,2,9
3,2,10
3,2,11
3,2,10
3,2,9
3,1,12
2,1,12
3,1,12
2,1,12
2,1,11
2,2,11
3,2,11
3,2,12
3,2,11
3,2,12
2,2,12
1,2,12
2,2,12
2,2,11
1,2,11
2,2,11
2,2,12
3,2,12
3,2,11
3,2,12
2,1,12
3,1,12
3,1,11
3,1,10
3,0,10
3,6,10
3,5,10
3,6,10
3,0,10
3,6,10
4,6,10
4,0,10
5,0,10
4,0,10
4,1,10
3,1,10
2,1,10
2,1,11
2,2,11
2,2,10
3,1,9
3,1,10
4,1,10
3,1,10
3,0,10
3,1,10
3,2,10
4,2,10
3,2,10
3,1,10
2,1,10
1,1,10
1,2,10
1,1,10
2,1,10
2,2,10
2,2,11
1,2,11
1,2,10
1,1,10
2,1,13
2,1,12
2,1,11
2,2,11
2,2,12
2,1,12
1,1,12
1,1,11
1,1,10
1,2,10
1,2,9
2,2,9
3,2,9
3,3,9
3,2,9
3,3,9
2,3,9
2,3,10
2,2,10
1,2,10
2,2,12
2,2,11
3,2,11
3,2,10
3,3,10
3,3,9
3,2,9
3,3,9
3,3,8
3,3,7
3,3,8
3,4,8
3,3,8
3,3,9
3,3,10
3,2,10
2,2,10
2,3,10
2,3,9
2,3,8
3,1,10
3,2,10
3,2,11
3,1,11
3,1,12
3,2,12
3,2,11
2,2,11
3,2,11
3,1,11
3,1,10
3,1,11
3,2,11
4,2,11
3,2,11
4,2,11
4,2,10
3,2,10
3,2,11
3,1,11
