x,y,z
4,0,10
4,1,10
3,1,10
4,1,10
5,1,10
5,0,10
5,1,10
5,2,10
5,1,10
5,1,11
4,1,11
4,1,10
3,1,10
3,1,11
4,1,11
4,1,10
5,1,10
5,1,9
4,1,9
4,2,9
2,1,9
3,1,9
3,1,10
3,1,11
3,1,10
3,2,10
3,2,11
4,2,11
5,2,11
4,2,11
4,2,12
4,2,13
4,2,14
4,2,13
4,2,12
4,2,11
4,1,11
4,0,11
3,0,11
3,0,10
4,1,10
4,2,10
3,2,10
3,1,10
4,1,10
5,1,10
4,1,10
4,1,11
3,1,11
4,1,11
4,0,11
4,0,10
5,0,10
5,0,11
5,1,11
5,0,11
5,0,10
5,0,9
4,0,9
4,1,9
5,1,9
4,1,9
4,1,10
4,1,11
4,1,10
4,1,9
3,1,9
4,1,9
4,1,10
4,1,11
4,0,11
4,6,11
4,0,11
4,1,11
4,1,10
3,1,10
3,0,10
3,1,10
3,2,10
2,2,10
4,6,11
4,0,11
5,0,11
5,0,10
4,0,10
3,0,10
4,0,10
4,0,11
4,0,10
4,0,9
4,1,9
4,0,9
4,1,9
4,1,10
4,0,10
5,0,10
4,0,10
3,0,10
3,1,10
4,1,10
1,1,10
2,1,10
2,1,9
2,1,10
2,1,9
3,1,9
4,1,9
3,1,9
3,2,9
3,1,9
3,1,10
4,1,10
3,1,10
4,1,10
4,0,10
4,1,10
4,0,10
4,0,9
4,1,9
3,1,9
3,1,9
3,2,9
3,2,10
3,2,9
3,1,9
3,2,9
3,2,10
3,2,9
3,1,9
3,1,10
3,1,11
3,1,10
3,0,10
4,0,10
4,0,9
5,0,9
4,0,9
4,1,9
5,1,9
5,1,10
3,1,10
4,1,10
4,0,10
4,0,9
4,1,9
5,1,9
5,0,9
5,1,9
4,1,9
4,2,9
4,2,10
4,1,10
3,1,10
3,2,10
3,1,10
3,1,9
3,1,10
2,1,10
2,1,9
3,1,9
4,0,10
4,1,10
4,1,11
3,1,11
3,1,10
4,1,10
4,1,9
3,1,9
3,2,9
3,2,10
3,2,11
4,2,11
4,2,12
4,2,13
4,2,12
4,2,11
4,2,12
4,2,11
5,2,11
5,1,11
4,0,9
4,1,9
4,1,10
4,1,9
4,2,9
4,1,9
4,1,10
4,1,11
4,2,11
4,2,10
3,2,10
3,2,11
3,2,10
4,2,10
4,1,10
4,1,11
4,2,11
4,2,10
4,2,11
4,2,10
4,0,11
4,1,11
3,1,11
3,1,10
3,1,11
3,0,11
3,0,10
4,0,10
3,0,10
3,1,10
4,1,10
3,1,10
3,1,9
3,1,10
3,2,10
3,1,10
4,1,10
3,1,10
4,1,10
4,2,10
3,2,10
3,1,10
3,0,10
2,0,10
3,0,10
3,1,10
2,1,10
3,1,10
4,1,10
4,2,10
5,2,10
5,2,11
4,2,11
4,2,10
3,2,10
3,2,9
3,2,10
